id,created_at,text
871143765473406976,2017-06-03 23:17:13,"b'We need to be smart, vigilant and tough. We need the courts to give us back our rights. We need the Travel Ban as an extra level of safety!'"
871139911298101248,2017-06-03 23:01:54,"b""RT @DRUDGE_REPORT: Fears of new terror attack after van 'mows down 20 people' on London Bridge..."""
871087981225926656,2017-06-03 19:35:33,b'#WeeklyAddress\xf0\x9f\x87\xba\xf0\x9f\x87\xb8 https://t.co/DNzRZiKxhd'
870709271477932032,2017-06-02 18:30:41,b'#MakeAmericaGreatAgain\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\nhttps://t.co/eJxeVZ3A1r'
870590911222349824,2017-06-02 10:40:22,b'RT @EricTrump: #MakeAmericaGreatAgain!!! \xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xba\xf0\x9f\x87\xb8 https://t.co/MStWl628xe'
870589692294647808,2017-06-02 10:35:32,b'RT @HeyTammyBruce: Coming up at 720a ET on @foxandfriends! See you there! \xf0\x9f\x87\xba\xf0\x9f\x87\xb8 #maga'
870589482675916800,2017-06-02 10:34:42,b'RT @LindseyGrahamSC: I support President Trump\xe2\x80\x99s desire to re-enter the Paris Accord after the agreement becomes a better deal for America\xe2\x80\xa6'
870589212978032640,2017-06-02 10:33:37,b'RT @Reince45: Promise kept. @POTUS exits flawed #ParisAccord to seek better deal for U.S. workers &amp; economy. This WH will always put #Ameri\xe2\x80\xa6'
870588968475275264,2017-06-02 10:32:39,b'RT @GOPLeader: .@POTUS made the right call in leaving a deal that would have put an unnecessary burden on the United States. https://t.co/q\xe2\x80\xa6'
870588844793581569,2017-06-02 10:32:10,b'RT @Jim_Jordan: President Trump did the right thing by withdrawing us from Paris treaty - it would hurt American companies and American wor\xe2\x80\xa6'
870588565595578370,2017-06-02 10:31:03,"b'RT @VP: Our President is choosing to put American jobs, American consumers, American energy, and American industry first. https://t.co/y2Op\xe2\x80\xa6'"
870582867084050432,2017-06-02 10:08:24,b'RT @foxandfriends: Wall Street hits record highs after Trump pulls out of Climate pact https://t.co/PDmwj13Lus'
870445001125355522,2017-06-02 01:00:35,b'MAKE AMERICA GREAT AGAIN!'
870412262900740096,2017-06-01 22:50:29,b'My job as President is to do everything within my power to give America a level playing field. #AmericaFirst\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\n\xe2\x9e\xa1\xef\xb8\x8f\xe2\x80\xa6 https://t.co/hL7OwbWzyi'
